TIME,GEO_NAME,GEO,IRRIGATION,IRRIGATED_CROPS,WATER_RDB_CODE,WATER_RDB_NAME,WATER_POL_PERCENTAGE,INDIC_AG,AG_HECTARES,SE_LEVELS,SE_SECTOR,SE_TONNES PER HECTARE,GREEN_POL,GREEN_POL_SRC,GREEN_POL_THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE
2010,AT12,Lower Austria,Irrigable,6.7,,,,,,,,,,,,,
2010,AT12,Niederösterreich,,,,,,High-input farms,"317,777",,,,,,,,
2010,AT12,Lower Austria,Irrigated,1.7,,,,,,,,,,,,,
2010,AT12,Niederösterreich,,,,,,,,Total,Agricultural areas (excluding pastures),3.2,,,,,
2010,AT12,Niederösterreich,,,,,,Low-input farms,"229,809",,,,,,,,
2010,AT12,Niederösterreich,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.9,,,,,
2010,AT12,Niederösterreich,,,,,,Medium-input farms,"466,837",,,,,,,,
2010,AT12,Niederösterreich,,,,,,,,Severe,Agricultural areas (excluding pastures),15,,,,,
2010,AT12,Niederösterreich,,,,,,,,Total,Pastures and natural grassland,7,,,,,
2010,AT12,Niederösterreich,,,,,,,,Moderate,Pastures and natural grassland,7.3,,,,,
2010,AT12,Niederösterreich,,,,,,,,Severe,Pastures and natural grassland,15.1,,,,,
2010,AT121,Mostviertel-Eisenwurzen,,,,,,,,Total,Agricultural areas (excluding pastures),5.6,,,,,
2010,AT121,Mostviertel-Eisenwurzen,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT121,Mostviertel-Eisenwurzen,,,,,,,,Severe,Agricultural areas (excluding pastures),14.9,,,,,
2010,AT121,Mostviertel-Eisenwurzen,,,,,,,,Total,Pastures and natural grassland,8.4,,,,,
2010,AT121,Mostviertel-Eisenwurzen,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT121,Mostviertel-Eisenwurzen,,,,,,,,Severe,Pastures and natural grassland,15.2,,,,,
2010,AT122,Niederösterreich-Süd,,,,,,,,Total,Agricultural areas (excluding pastures),5.8,,,,,
2010,AT122,Niederösterreich-Süd,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.4,,,,,
2010,AT122,Niederösterreich-Süd,,,,,,,,Severe,Agricultural areas (excluding pastures),15,,,,,
2010,AT122,Niederösterreich-Süd,,,,,,,,Total,Pastures and natural grassland,7.8,,,,,
2010,AT122,Niederösterreich-Süd,,,,,,,,Moderate,Pastures and natural grassland,7.3,,,,,
2010,AT122,Niederösterreich-Süd,,,,,,,,Severe,Pastures and natural grassland,15.2,,,,,
2010,AT123,Sankt Pölten,,,,,,,,Total,Agricultural areas (excluding pastures),4.5,,,,,
2010,AT123,Sankt Pölten,,,,,,,,Moderate,Agricultural areas (excluding pastures),7,,,,,
2010,AT123,Sankt Pölten,,,,,,,,Severe,Agricultural areas (excluding pastures),14.9,,,,,
2010,AT123,Sankt Pölten,,,,,,,,Total,Pastures and natural grassland,7,,,,,
2010,AT123,Sankt Pölten,,,,,,,,Moderate,Pastures and natural grassland,7.1,,,,,
2010,AT123,Sankt Pölten,,,,,,,,Severe,Pastures and natural grassland,14.4,,,,,
2010,AT124,Waldviertel,,,,,,,,Total,Agricultural areas (excluding pastures),3.2,,,,,
2010,AT124,Waldviertel,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.8,,,,,
2010,AT124,Waldviertel,,,,,,,,Severe,Agricultural areas (excluding pastures),16.2,,,,,
2010,AT124,Waldviertel,,,,,,,,Total,Pastures and natural grassland,2,,,,,
2010,AT124,Waldviertel,,,,,,,,Moderate,Pastures and natural grassland,6.7,,,,,
2010,AT124,Waldviertel,,,,,,,,Severe,Pastures and natural grassland,13.1,,,,,
2010,AT125,Weinviertel,,,,,,,,Total,Agricultural areas (excluding pastures),2.4,,,,,
2010,AT125,Weinviertel,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.7,,,,,
2010,AT125,Weinviertel,,,,,,,,Severe,Agricultural areas (excluding pastures),13,,,,,
2010,AT125,Weinviertel,,,,,,,,Total,Pastures and natural grassland,0.5,,,,,
2010,AT125,Weinviertel,,,,,,,,Moderate,Pastures and natural grassland,6.4,,,,,
2010,AT125,Weinviertel,,,,,,,,Severe,Pastures and natural grassland,0,,,,,
2010,AT126,Wiener Umland/Nordteil,,,,,,,,Total,Agricultural areas (excluding pastures),1.8,,,,,
2010,AT126,Wiener Umland/Nordteil,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.8,,,,,
2010,AT126,Wiener Umland/Nordteil,,,,,,,,Severe,Agricultural areas (excluding pastures),13.4,,,,,
2010,AT126,Wiener Umland/Nordteil,,,,,,,,Total,Pastures and natural grassland,2.1,,,,,
2010,AT126,Wiener Umland/Nordteil,,,,,,,,Moderate,Pastures and natural grassland,6.3,,,,,
2010,AT126,Wiener Umland/Nordteil,,,,,,,,Severe,Pastures and natural grassland,11.6,,,,,
2010,AT127,Wiener Umland/Südteil,,,,,,,,Total,Agricultural areas (excluding pastures),1.4,,,,,
2010,AT127,Wiener Umland/Südteil,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.9,,,,,
2010,AT127,Wiener Umland/Südteil,,,,,,,,Severe,Agricultural areas (excluding pastures),14.6,,,,,
2010,AT127,Wiener Umland/Südteil,,,,,,,,Total,Pastures and natural grassland,2.6,,,,,
2010,AT127,Wiener Umland/Südteil,,,,,,,,Moderate,Pastures and natural grassland,6.6,,,,,
2010,AT127,Wiener Umland/Südteil,,,,,,,,Severe,Pastures and natural grassland,12.7,,,,,
2010,AT13,Vienna,Irrigable,26.9,,,,,,,,,,,,,
2010,AT13,Wien,,,,,,High-input farms,:,,,,,,,,
2010,AT13,Vienna,Irrigated,11.2,,,,,,,,,,,,,
2010,AT13,Wien,,,,,,Low-input farms,:,,,,,,,,
2010,AT13,Wien,,,,,,Medium-input farms,:,,,,,,,,
2010,AT130,Wien,,,,,,,,Total,Agricultural areas (excluding pastures),2.1,,,,,
2010,AT130,Wien,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT130,Wien,,,,,,,,Severe,Agricultural areas (excluding pastures),14.8,,,,,
2010,AT130,Wien,,,,,,,,Total,Agricultural areas (excluding pastures),2.1,,,,,
2010,AT130,Wien,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT130,Wien,,,,,,,,Severe,Agricultural areas (excluding pastures),14.8,,,,,
2010,AT130,Wien,,,,,,,,Total,Pastures and natural grassland,2.5,,,,,
2010,AT130,Wien,,,,,,,,Moderate,Pastures and natural grassland,5.9,,,,,
2010,AT130,Wien,,,,,,,,Severe,Pastures and natural grassland,0,,,,,
2010,AT130,Wien,,,,,,,,Total,Pastures and natural grassland,2.5,,,,,
2010,AT130,Wien,,,,,,,,Moderate,Pastures and natural grassland,5.9,,,,,
2010,AT130,Wien,,,,,,,,Severe,Pastures and natural grassland,0,,,,,
2010,AT2,Südösterreich,,,,,,High-input farms,"250,086",,,,,,,,
2010,AT2,Südösterreich,,,,,,Low-input farms,"225,525",,,,,,,,
2010,AT2,Südösterreich,,,,,,Medium-input farms,"218,359",,,,,,,,
2010,AT21,Carinthia,Irrigable,0.3,,,,,,,,,,,,,
2010,AT21,Kärnten,,,,,,High-input farms,"66,738",,,,,,,,
2010,AT21,Carinthia,Irrigated,0.1,,,,,,,,,,,,,
2010,AT21,Kärnten,,,,,,,,Total,Agricultural areas (excluding pastures),12.3,,,,,
2010,AT21,Kärnten,,,,,,Low-input farms,"122,259",,,,,,,,
2010,AT21,Kärnten,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.2,,,,,
2010,AT21,Kärnten,,,,,,Medium-input farms,"105,119",,,,,,,,
2010,AT21,Kärnten,,,,,,,,Severe,Agricultural areas (excluding pastures),25.3,,,,,
2010,AT21,Kärnten,,,,,,,,Total,Pastures and natural grassland,19.4,,,,,
2010,AT21,Kärnten,,,,,,,,Moderate,Pastures and natural grassland,7.6,,,,,
2010,AT21,Kärnten,,,,,,,,Severe,Pastures and natural grassland,24.4,,,,,
2010,AT211,Klagenfurt-Villach,,,,,,,,Total,Agricultural areas (excluding pastures),11.4,,,,,
2010,AT211,Klagenfurt-Villach,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.2,,,,,
2010,AT211,Klagenfurt-Villach,,,,,,,,Severe,Agricultural areas (excluding pastures),24.4,,,,,
2010,AT211,Klagenfurt-Villach,,,,,,,,Total,Pastures and natural grassland,23.3,,,,,
2010,AT211,Klagenfurt-Villach,,,,,,,,Moderate,Pastures and natural grassland,7.5,,,,,
2010,AT211,Klagenfurt-Villach,,,,,,,,Severe,Pastures and natural grassland,30.3,,,,,
2010,AT212,Oberkärnten,,,,,,,,Total,Agricultural areas (excluding pastures),17.7,,,,,
2010,AT212,Oberkärnten,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT212,Oberkärnten,,,,,,,,Severe,Agricultural areas (excluding pastures),34,,,,,
2010,AT212,Oberkärnten,,,,,,,,Total,Pastures and natural grassland,21.5,,,,,
2010,AT212,Oberkärnten,,,,,,,,Moderate,Pastures and natural grassland,7.7,,,,,
2010,AT212,Oberkärnten,,,,,,,,Severe,Pastures and natural grassland,25.7,,,,,
2010,AT213,Unterkärnten,,,,,,,,Total,Agricultural areas (excluding pastures),11.2,,,,,
2010,AT213,Unterkärnten,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.2,,,,,
2010,AT213,Unterkärnten,,,,,,,,Severe,Agricultural areas (excluding pastures),22.7,,,,,
2010,AT213,Unterkärnten,,,,,,,,Total,Pastures and natural grassland,13.8,,,,,
2010,AT213,Unterkärnten,,,,,,,,Moderate,Pastures and natural grassland,7.6,,,,,
2010,AT213,Unterkärnten,,,,,,,,Severe,Pastures and natural grassland,18.8,,,,,
2010,AT22,Styria,Irrigable,0.5,,,,,,,,,,,,,
2010,AT22,Steiermark,,,,,,High-input farms,"183,347",,,,,,,,
2010,AT22,Styria,Irrigated,0.3,,,,,,,,,,,,,
2010,AT22,Steiermark,,,,,,,,Total,Agricultural areas (excluding pastures),9.6,,,,,
2010,AT22,Steiermark,,,,,,Low-input farms,"103,265",,,,,,,,
2010,AT22,Steiermark,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.4,,,,,
2010,AT22,Steiermark,,,,,,Medium-input farms,"113,240",,,,,,,,
2010,AT22,Steiermark,,,,,,,,Severe,Agricultural areas (excluding pastures),19.8,,,,,
2010,AT22,Steiermark,,,,,,,,Total,Pastures and natural grassland,11.1,,,,,
2010,AT22,Steiermark,,,,,,,,Moderate,Pastures and natural grassland,7.5,,,,,
2010,AT22,Steiermark,,,,,,,,Severe,Pastures and natural grassland,17.7,,,,,
2010,AT221,Graz,,,,,,,,Total,Agricultural areas (excluding pastures),7.3,,,,,
2010,AT221,Graz,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.3,,,,,
2010,AT221,Graz,,,,,,,,Severe,Agricultural areas (excluding pastures),18.2,,,,,
2010,AT221,Graz,,,,,,,,Total,Pastures and natural grassland,9,,,,,
2010,AT221,Graz,,,,,,,,Moderate,Pastures and natural grassland,7.3,,,,,
2010,AT221,Graz,,,,,,,,Severe,Pastures and natural grassland,16.4,,,,,
2010,AT222,Liezen,,,,,,,,Total,Agricultural areas (excluding pastures),19.2,,,,,
2010,AT222,Liezen,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.6,,,,,
2010,AT222,Liezen,,,,,,,,Severe,Agricultural areas (excluding pastures),24.5,,,,,
2010,AT222,Liezen,,,,,,,,Total,Pastures and natural grassland,11.6,,,,,
2010,AT222,Liezen,,,,,,,,Moderate,Pastures and natural grassland,7.6,,,,,
2010,AT222,Liezen,,,,,,,,Severe,Pastures and natural grassland,18.7,,,,,
2010,AT223,Östliche Obersteiermark,,,,,,,,Total,Agricultural areas (excluding pastures),12.8,,,,,
2010,AT223,Östliche Obersteiermark,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.5,,,,,
2010,AT223,Östliche Obersteiermark,,,,,,,,Severe,Agricultural areas (excluding pastures),21.2,,,,,
2010,AT223,Östliche Obersteiermark,,,,,,,,Total,Pastures and natural grassland,10.2,,,,,
2010,AT223,Östliche Obersteiermark,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT223,Östliche Obersteiermark,,,,,,,,Severe,Pastures and natural grassland,17.5,,,,,
2010,AT224,Oststeiermark,,,,,,,,Total,Agricultural areas (excluding pastures),9.6,,,,,
2010,AT224,Oststeiermark,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.4,,,,,
2010,AT224,Oststeiermark,,,,,,,,Severe,Agricultural areas (excluding pastures),18.5,,,,,
2010,AT224,Oststeiermark,,,,,,,,Total,Pastures and natural grassland,9,,,,,
2010,AT224,Oststeiermark,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT224,Oststeiermark,,,,,,,,Severe,Pastures and natural grassland,15.6,,,,,
2010,AT225,West- und Südsteiermark,,,,,,,,Total,Agricultural areas (excluding pastures),8.6,,,,,
2010,AT225,West- und Südsteiermark,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.3,,,,,
2010,AT225,West- und Südsteiermark,,,,,,,,Severe,Agricultural areas (excluding pastures),19.8,,,,,
2010,AT225,West- und Südsteiermark,,,,,,,,Total,Pastures and natural grassland,8.5,,,,,
2010,AT225,West- und Südsteiermark,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT225,West- und Südsteiermark,,,,,,,,Severe,Pastures and natural grassland,15,,,,,
2010,AT226,Westliche Obersteiermark,,,,,,,,Total,Agricultural areas (excluding pastures),12.9,,,,,
2010,AT226,Westliche Obersteiermark,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.2,,,,,
2010,AT226,Westliche Obersteiermark,,,,,,,,Severe,Agricultural areas (excluding pastures),26.5,,,,,
2010,AT226,Westliche Obersteiermark,,,,,,,,Total,Pastures and natural grassland,13.4,,,,,
2010,AT226,Westliche Obersteiermark,,,,,,,,Moderate,Pastures and natural grassland,7.6,,,,,
2010,AT226,Westliche Obersteiermark,,,,,,,,Severe,Pastures and natural grassland,18.4,,,,,
2010,AT3,Westösterreich,,,,,,High-input farms,"344,813",,,,,,,,
2010,AT3,Westösterreich,,,,,,Low-input farms,"458,731",,,,,,,,
2010,AT3,Westösterreich,,,,,,Medium-input farms,"210,409",,,,,,,,
2010,AT31,Upper Austria,Irrigable,0.3,,,,,,,,,,,,,
2010,AT31,Oberösterreich,,,,,,High-input farms,"253,921",,,,,,,,
2010,AT31,Upper Austria,Irrigated,0.1,,,,,,,,,,,,,
2010,AT31,Oberösterreich,,,,,,,,Total,Agricultural areas (excluding pastures),5.1,,,,,
2010,AT31,Oberösterreich,,,,,,Low-input farms,"54,281",,,,,,,,
2010,AT31,Oberösterreich,,,,,,,,Moderate,Agricultural areas (excluding pastures),7,,,,,
2010,AT31,Oberösterreich,,,,,,Medium-input farms,"102,232",,,,,,,,
2010,AT31,Oberösterreich,,,,,,,,Severe,Agricultural areas (excluding pastures),15.2,,,,,
2010,AT31,Oberösterreich,,,,,,,,Total,Pastures and natural grassland,5.1,,,,,
2010,AT31,Oberösterreich,,,,,,,,Moderate,Pastures and natural grassland,7,,,,,
2010,AT31,Oberösterreich,,,,,,,,Severe,Pastures and natural grassland,16,,,,,
2010,AT311,Innviertel,,,,,,,,Total,Agricultural areas (excluding pastures),4.8,,,,,
2010,AT311,Innviertel,,,,,,,,Moderate,Agricultural areas (excluding pastures),7,,,,,
2010,AT311,Innviertel,,,,,,,,Severe,Agricultural areas (excluding pastures),14.9,,,,,
2010,AT311,Innviertel,,,,,,,,Total,Pastures and natural grassland,2.7,,,,,
2010,AT311,Innviertel,,,,,,,,Moderate,Pastures and natural grassland,6.6,,,,,
2010,AT311,Innviertel,,,,,,,,Severe,Pastures and natural grassland,12.7,,,,,
2010,AT312,Linz-Wels,,,,,,,,Total,Agricultural areas (excluding pastures),5.5,,,,,
2010,AT312,Linz-Wels,,,,,,,,Moderate,Agricultural areas (excluding pastures),7,,,,,
2010,AT312,Linz-Wels,,,,,,,,Severe,Agricultural areas (excluding pastures),16.1,,,,,
2010,AT312,Linz-Wels,,,,,,,,Total,Pastures and natural grassland,5,,,,,
2010,AT312,Linz-Wels,,,,,,,,Moderate,Pastures and natural grassland,7,,,,,
2010,AT312,Linz-Wels,,,,,,,,Severe,Pastures and natural grassland,13.5,,,,,
2010,AT313,Mühlviertel,,,,,,,,Total,Agricultural areas (excluding pastures),4.6,,,,,
2010,AT313,Mühlviertel,,,,,,,,Moderate,Agricultural areas (excluding pastures),6.9,,,,,
2010,AT313,Mühlviertel,,,,,,,,Severe,Agricultural areas (excluding pastures),13.7,,,,,
2010,AT313,Mühlviertel,,,,,,,,Total,Pastures and natural grassland,4,,,,,
2010,AT313,Mühlviertel,,,,,,,,Moderate,Pastures and natural grassland,6.7,,,,,
2010,AT313,Mühlviertel,,,,,,,,Severe,Pastures and natural grassland,13,,,,,
2010,AT314,Steyr-Kirchdorf,,,,,,,,Total,Agricultural areas (excluding pastures),5.7,,,,,
2010,AT314,Steyr-Kirchdorf,,,,,,,,Moderate,Agricultural areas (excluding pastures),7,,,,,
2010,AT314,Steyr-Kirchdorf,,,,,,,,Severe,Agricultural areas (excluding pastures),15.3,,,,,
2010,AT314,Steyr-Kirchdorf,,,,,,,,Total,Pastures and natural grassland,9.4,,,,,
2010,AT314,Steyr-Kirchdorf,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT314,Steyr-Kirchdorf,,,,,,,,Severe,Pastures and natural grassland,16.3,,,,,
2010,AT315,Traunviertel,,,,,,,,Total,Agricultural areas (excluding pastures),5.8,,,,,
2010,AT315,Traunviertel,,,,,,,,Moderate,Agricultural areas (excluding pastures),7,,,,,
2010,AT315,Traunviertel,,,,,,,,Severe,Agricultural areas (excluding pastures),16.3,,,,,
2010,AT315,Traunviertel,,,,,,,,Total,Pastures and natural grassland,5.4,,,,,
2010,AT315,Traunviertel,,,,,,,,Moderate,Pastures and natural grassland,7,,,,,
2010,AT315,Traunviertel,,,,,,,,Severe,Pastures and natural grassland,16.4,,,,,
2010,AT32,Salzburg,Irrigable,0.1,,,,,,,,,,,,,
2010,AT32,Salzburg,,,,,,High-input farms,"35,743",,,,,,,,
2010,AT32,Salzburg,Irrigated,0,,,,,,,,,,,,,
2010,AT32,Salzburg,,,,,,,,Total,Agricultural areas (excluding pastures),9.7,,,,,
2010,AT32,Salzburg,,,,,,Low-input farms,"196,885",,,,,,,,
2010,AT32,Salzburg,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.4,,,,,
2010,AT32,Salzburg,,,,,,Medium-input farms,"30,808",,,,,,,,
2010,AT32,Salzburg,,,,,,,,Severe,Agricultural areas (excluding pastures),20.4,,,,,
2010,AT32,Salzburg,,,,,,,,Total,Pastures and natural grassland,9.6,,,,,
2010,AT32,Salzburg,,,,,,,,Moderate,Pastures and natural grassland,7.3,,,,,
2010,AT32,Salzburg,,,,,,,,Severe,Pastures and natural grassland,18.3,,,,,
2010,AT321,Lungau,,,,,,,,Total,Agricultural areas (excluding pastures),11.6,,,,,
2010,AT321,Lungau,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.1,,,,,
2010,AT321,Lungau,,,,,,,,Severe,Agricultural areas (excluding pastures),23.3,,,,,
2010,AT321,Lungau,,,,,,,,Total,Pastures and natural grassland,15.9,,,,,
2010,AT321,Lungau,,,,,,,,Moderate,Pastures and natural grassland,7.7,,,,,
2010,AT321,Lungau,,,,,,,,Severe,Pastures and natural grassland,20.5,,,,,
2010,AT322,Pinzgau-Pongau,,,,,,,,Total,Agricultural areas (excluding pastures),17.5,,,,,
2010,AT322,Pinzgau-Pongau,,,,,,,,Moderate,Agricultural areas (excluding pastures),7.9,,,,,
2010,AT322,Pinzgau-Pongau,,,,,,,,Severe,Agricultural areas (excluding pastures),20.9,,,,,
2010,AT322,Pinzgau-Pongau,,,,,,,,Total,Pastures and natural grassland,10.2,,,,,
2010,AT322,Pinzgau-Pongau,,,,,,,,Moderate,Pastures and natural grassland,7.4,,,,,
2010,AT322,Pinzgau-Pongau,,,,,,,,Severe,Pastures and natural grassland,17.8,,,,,
2010,AT323,Salzburg und Umgebung,,,,,,,,Total,Agricultural areas (excluding pastures),4.5,,,,,
