TIME,GEO_NAME,GEO,INDIC_AG,HECTARES_AG,SE_LEVELS,SE_SECTOR,SE_TONNES PER HECTARE,IRRIGATION,IRRIGATION_CROPS,GREEN_POL,GREEN_POL_SRC,GREEN_POL_THOUSAND_TONNES,AIRPOL,AIRPOL_VALUE,RDB_CODE,RDB_NAME,RDB_POL_PERCENTAGE
2011,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2011,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2011,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2011,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2011,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-6,102.88",,,,,
2011,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-6,238.97",,,,,
2011,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2011,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.89,,,,,
2011,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.38,,,,,
2011,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",112.21,,,,,
2011,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2011,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2011,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2011,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2011,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2012,AT,Austria,High-input farms,"1,014,948",,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,122.87",Nitrogen oxides,"190,500",,,
2012,AT,Austria,Low-input farms,"967,032",,,,,,Carbon dioxide,Agriculture,124.72,Sulphur oxides,"14,790",,,
2012,AT,Austria,Medium-input farms,"878,168",,,,,,Methane,Agriculture,184.21,Ammonia,"62,600",,,
2012,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,605.15",Particulates < 2.5µm,"18,200",,,
2012,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,8.03,Particulates < 10µm,"30,450",,,
2012,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,393",Non-methane volatile organic compounds,"130,740",,,
2012,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2012,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2012,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2012,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2012,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2012,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-5,451.37",,,,,
2012,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,590.33",,,,,
2012,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2012,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.91,,,,,
2012,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.39,,,,,
2012,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",115.04,,,,,
2012,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2012,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2012,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2012,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2012,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2013,AT,Austria,High-input farms,"1,106,513",,,,Irrigable,4.4,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,113.30",Nitrogen oxides,"189,750",,,
2013,AT,Austria,Low-input farms,"1,009,271",,,,Irrigated,1.9,Carbon dioxide,Agriculture,118.44,Sulphur oxides,"14,370",,,
2013,AT,Austria,Medium-input farms,"853,273",,,,,,Methane,Agriculture,184.92,Ammonia,"62,660",,,
2013,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,622.90",Particulates < 2.5µm,"17,610",,,
2013,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,7.96,Particulates < 10µm,"29,810",,,
2013,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,371.96",Non-methane volatile organic compounds,"124,840",,,
2013,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2013,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2013,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2013,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2013,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2013,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,483.44",,,,,
2013,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,623.87",,,,,
2013,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2013,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",24,,,,,
2013,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.39,,,,,
2013,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",116.43,,,,,
2013,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2013,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2013,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2013,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2013,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2014,AT,Austria,High-input farms,"1,193,634",,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,257.14",Nitrogen oxides,"181,980",,,
2014,AT,Austria,Low-input farms,"681,824",,,,,,Carbon dioxide,Agriculture,124.18,Sulphur oxides,"14,530",,,
2014,AT,Austria,Medium-input farms,"718,840",,,,,,Methane,Agriculture,186.19,Ammonia,"63,410",,,
2014,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,654.78",Particulates < 2.5µm,"16,050",,,
2014,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,8.32,Particulates < 10µm,"28,310",,,
2014,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,478.19",Non-methane volatile organic compounds,"118,170",,,
2014,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2014,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2014,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2014,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2014,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2014,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,350.50",,,,,
2014,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,494.42",,,,,
2014,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2014,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.92,,,,,
2014,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.4,,,,,
2014,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",120,,,,,
2014,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2014,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2014,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2014,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2014,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2015,AT,Austria,High-input farms,"1,163,347",,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,274",Nitrogen oxides,"178,980",AT1000,DANUBE,53
2015,AT,Austria,Low-input farms,"649,716",,,,,,Carbon dioxide,Agriculture,137.06,Sulphur oxides,"14,130",AT2000,RHINE,46
2015,AT,Austria,Medium-input farms,"748,842",,,,,,Methane,Agriculture,186.4,Ammonia,"64,200",AT5000,ELBE,53
2015,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,659.93",Particulates < 2.5µm,"15,830",,,
2015,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,8.31,Particulates < 10µm,"27,900",,,
2015,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,477.01",Non-methane volatile organic compounds,"113,050",,,
2015,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2015,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2015,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2015,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2015,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2015,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,162.61",,,,,
2015,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,311.47",,,,,
2015,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2015,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",24.11,,,,,
2015,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.42,,,,,
2015,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",124.75,,,,,
2015,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2015,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2015,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2015,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2015,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2016,AT,Austria,High-input farms,"1,206,133",Total,Agricultural areas (excluding pastures),4.9,Irrigable,3.7,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,390.15",Nitrogen oxides,"171,500",,,
2016,AT,Austria,Low-input farms,"651,960",Moderate,Agricultural areas (excluding pastures),7.1,Irrigated,1.4,Carbon dioxide,Agriculture,143.65,Sulphur oxides,"13,290",,,
2016,AT,Austria,Medium-input farms,"699,107",Severe,Agricultural areas (excluding pastures),18.7,,,Methane,Agriculture,187.45,Ammonia,"64,980",,,
2016,AT,Austria,,,Total,Pastures and natural grassland,10.2,,,Methane (CO2 equivalent),Agriculture,"4,686.28",Particulates < 2.5µm,"15,460",,,
2016,AT,Austria,,,Moderate,Pastures and natural grassland,7.4,,,Nitrous oxide,Agriculture,8.59,Particulates < 10µm,"27,540",,,
2016,AT,Austria,,,Severe,Pastures and natural grassland,19.2,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,560.22",Non-methane volatile organic compounds,"111,880",,,
2016,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2016,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2016,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2016,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2016,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2016,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,013.64",,,,,
2016,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,164.21",,,,,
2016,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.95,,,,,
2016,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.83,,,,,
2016,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.43,,,,,
2016,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",126.74,,,,,
2016,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2016,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2016,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2016,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2016,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2017,AT,Austria,High-input farms,"1,213,687",,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,340.83",Nitrogen oxides,"162,730",,,
2017,AT,Austria,Low-input farms,"494,037",,,,,,Carbon dioxide,Agriculture,142.42,Sulphur oxides,"12,810",,,
2017,AT,Austria,Medium-input farms,"618,688",,,,,,Methane,Agriculture,188.41,Ammonia,"65,840",,,
2017,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,710.18",Particulates < 2.5µm,"15,240",,,
2017,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,8.35,Particulates < 10µm,"27,530",,,
2017,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,488.23",Non-methane volatile organic compounds,"112,400",,,
2017,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2017,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2017,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2017,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2017,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2017,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,745.18",,,,,
2017,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,896.31",,,,,
2017,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.95,,,,,
2017,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.87,,,,,
2017,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.43,,,,,
2017,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",127.26,,,,,
2017,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2017,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2017,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2017,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2017,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2018,AT,Austria,High-input farms,"1,192,389",,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"7,253.77",Nitrogen oxides,"151,410",,,
2018,AT,Austria,Low-input farms,"491,026",,,,,,Carbon dioxide,Agriculture,146.69,Sulphur oxides,"11,610",,,
2018,AT,Austria,Medium-input farms,"665,853",,,,,,Methane,Agriculture,186.51,Ammonia,"64,880",,,
2018,AT,Austria,,,,,,,,Methane (CO2 equivalent),Agriculture,"4,662.76",Particulates < 2.5µm,"14,220",,,
2018,AT,Austria,,,,,,,,Nitrous oxide,Agriculture,8.2,Particulates < 10µm,"26,370",,,
2018,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),Agriculture,"2,444.32",Non-methane volatile organic compounds,"109,030",,,
2018,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2018,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),Agriculture,:,,,,,
2018,AT,Austria,,,,,,,,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:,,,,,
2018,AT,Austria,,,,,,,,Sulphur hexafluoride (CO2 equivalent),Agriculture,:,,,,,
2018,AT,Austria,,,,,,,,Nitrogen trifluoride (CO2 equivalent),Agriculture,:,,,,,
2018,AT,Austria,,,,,,,,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-5,126.81",,,,,
2018,AT,Austria,,,,,,,,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-5,278.06",,,,,
2018,AT,Austria,,,,,,,,Methane,"Land use, land use change, and forestry (LULUCF)",0.96,,,,,
2018,AT,Austria,,,,,,,,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",23.95,,,,,
2018,AT,Austria,,,,,,,,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.43,,,,,
2018,AT,Austria,,,,,,,,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",127.31,,,,,
2018,AT,Austria,,,,,,,,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
2018,AT,Austria,,,,,,,,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:,,,,,
